Universidad;Consejo_Rectores;Acreditacion;Edad;Anos_Acreditacion_Investigacion;Produccion_2018;Produccion_2008;Produccion_Pais_2018;Produccion_Pais_2008;Fondecyt_2018;Fondecyt_2008;Fondecyt_Pais_2018;Fondecyt_Pais_2008;Dr_JCE_2018;Dr_JCE_2008;Dr_JCE_Pais_2018;Dr_JCE_Pais_2008
UNIVERSIDAD DE VIÑA DEL MAR;NO CRUCH;No Acreditada;29;0;70;4;0.00055827;0.00069408;0;0;0.00000000;0.00000000;26;4;0.00264109;0.00043377
UNIVERSIDAD DE AYSEN;CRUCH;No Acreditada;2;0;27;0;0.00021533;0.00000000;1;0;0.00198807;0.00000000;17;0;0.00177938;0.00000000
UNIVERSIDAD DE LAS AMERICAS;NO CRUCH;No Acreditada;29;0;60;4;0.00047852;0.00069408;0;0;0.00000000;0.00000000;39;24;0.00404897;0.00247281
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;NO CRUCH;No Acreditada;51;0;11;0;0.00008773;0.00000000;0;0;0.00000000;0.00000000;13;0;0.00136817;0.00000000
UNIVERSIDAD SEK;NO CRUCH;No Acreditada;27;0;32;0;0.00025521;0.00000000;0;0;0.00000000;0.00000000;13;2;0.00137850;0.00022388
UNIVERSIDAD ADVENTISTA DE CHILE;NO CRUCH;No Acreditada;27;0;48;0;0.00038281;0.00000000;0;0;0.00000000;0.00000000;17;7;0.00175373;0.00073461
UNIVERSIDAD DEL PACIFICO;NO CRUCH;No Acreditada;27;0;9;0;0.00007178;0.00000000;0;0;0.00000000;0.00000000;10;2;0.00101213;0.00023554
UNIVERSIDAD DE ARTES. CIENCIAS Y COMUNICACION UNIACC;NO CRUCH;No Acreditada;36;0;2;0;0.00001595;0.00000000;0;0;0.00000000;0.00000000;8;2;0.00077338;0.00020522
UNIVERSIDAD MIGUEL DE CERVANTES;NO CRUCH;No Acreditada;21;0;1;0;0.00000798;0.00000000;0;0;0.00000000;0.00000000;6;1;0.00063433;0.00012127
UNIVERSIDAD GABRIELA MISTRAL;NO CRUCH;No Acreditada;36;0;23;3;0.00018343;0.00052056;0;0;0.00000000;0.00000000;13;8;0.00135797;0.00086987
UNIVERSIDAD DE ACONCAGUA;NO CRUCH;No Acreditada;28;0;3;0;0.00002393;0.00000000;0;0;0.00000000;0.00000000;5;1;0.00047458;0.00008162
UNIVERSIDAD LA REPUBLICA;NO CRUCH;No Acreditada;29;0;2;0;0.00001595;0.00000000;0;0;0.00000000;0.00000000;3;0;0.00032882;0.00000000
UNIVERSIDAD CHILENO-BRITANICA DE CULTURA;NO CRUCH;No Acreditada;11;0;4;0;0.00003190;0.00000000;0;0;0.00000000;0.00000000;2;0;0.00021455;0.00000000
UNIVERSIDAD BOLIVARIANA;NO CRUCH;No Acreditada;30;0;8;3;0.00006380;0.00052056;0;0;0.00000000;0.00000000;4;2;0.00040112;0.00025420
UNIVERSIDAD PEDRO DE VALDIVIA;NO CRUCH;No Acreditada;11;0;26;2;0.00020736;0.00034704;0;0;0.00000000;0.00000000;7;5;0.00067689;0.00056203
UNIVERSIDAD LOS LEONES;NO CRUCH;No Acreditada;7;0;0;0;0.00000000;0.00000000;0;0;0.00000000;0.00000000;0;0;0.00005014;0.00000000
UNIVERSIDAD UCINF;NO CRUCH;No Acreditada;28;0;3;0;0.00002393;0.00000000;0;0;0.00000000;0.00000000;1;3;0.00006063;0.00027052
UNIVERSIDAD IBEROAMERICANA DE CIENCIAS Y TECNOLOGIA UNICIT;NO CRUCH;No Acreditada;28;0;34;1;0.00027116;0.00017352;0;0;0.00000000;0.00000000;4;14;0.00043843;0.00142957
UNIVERSIDAD DEL MAR;NO CRUCH;No Acreditada;28;0;18;1;0.00014355;0.00017352;0;0;0.00000000;0.00000000;0;12;0.00001399;0.00127635
UNIVERSIDAD DE ARTE Y CIENCIAS SOCIALES ARCIS;NO CRUCH;No Acreditada;35;0;11;0;0.00008773;0.00000000;0;1;0.00000000;0.00243902;0;17;0.00000000;0.00173507
